Category,Motivation,clean_motivation,Label
physics,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",investigations densities important gases discovery argon connection studies,0
peace,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",striving public law develop peaceful ties nations make laws war humane,2
chemistry,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""",recognition services discovery inert gaseous elements air determination place periodic system,4
medicine,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""",recognition work physiology digestion knowledge vital aspects subject transformed enlarged,1
literature,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",recognition fresh originality true inspiration poetic production faithfully reflects natural scenery native spirit people addition significant work Provenccedilal philologist,3
chemistry,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds""",recognition services advancement organic chemistry chemical industry work organic dyes hydroaromatic compounds,4
literature,"""because of his outstanding merits as an epic writer""",outstanding merits epic writer,3
physics,"""for his work on cathode rays""",work cathode rays,0
peace,"""for her audacity to oppose the horrors of war""",audacity oppose horrors war,2
medicine,"""for his investigations and discoveries in relation to tuberculosis""",investigations discoveries relation tuberculosis,1
literature,"""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces""",consideration deep learning critical research tribute creative energy freshness style lyrical force characterize poetic masterpieces,3
peace,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",role bringing end bloody war recently waged two worlds great powers Japan Russia,2
physics,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",recognition great merits theoretical experimental investigations conduction electricity gases,0
medicine,"""in recognition of their work on the structure of the nervous system""",recognition work structure nervous system,1
chemistry,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him""",recognition great services rendered investigation isolation element fluorine adoption service science electric furnace called,4
medicine,"""in recognition of their work on the structure of the nervous system""",recognition work structure nervous system,1
medicine,"""in recognition of his work on the role played by protozoa in causing diseases""",recognition work role played protozoa causing diseases,1
chemistry,"""for his biochemical researches and his discovery of cell-free fermentation""",biochemical researches discovery cellfree fermentation,4
literature,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",consideration power observation originality imagination virility ideas remarkable talent narration characterize creations worldfamous author,3
peace,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",decisive influence upon conduct outcome Hague Geneva Conferences,2
peace,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",work press peace meetings public private understanding France Italy,2
physics,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",optical precision instruments spectroscopic metrological investigations carried aid,0
chemistry,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""",investigations disintegration elements chemistry radioactive substances,4
literature,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",recognition earnest search truth penetrating power thought wide range vision warmth strength presentation numerous works vindicated developed idealistic philosophy life,3
peace,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",long time work cause peace politicians peace society leaders orators authors,2
medicine,"""in recognition of their work on immunity""",recognition work immunity,1
medicine,"""in recognition of their work on immunity""",recognition work immunity,1
peace,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",long time work cause peace politicians peace society leaders orators authors,2
physics,"""for his method of reproducing colours photographically based on the phenomenon of interference""",method reproducing colours photographically based phenomenon interference,0
physics,"""in recognition of their contributions to the development of wireless telegraphy""",recognition contributions development wireless telegraphy,0
medicine,"""for his work on the physiology pathology and surgery of the thyroid gland""",work physiology pathology surgery thyroid gland,1
literature,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",appreciation lofty idealism vivid imagination spiritual perception characterize writings,3
chemistry,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",recognition work catalysis investigations fundamental principles governing chemical equilibria rates reaction,4
physics,"""in recognition of their contributions to the development of wireless telegraphy""",recognition contributions development wireless telegraphy,0
peace,"""for their prominent position in the international movement for peace and arbitration""",prominent position international movement peace arbitration,2
peace,"""for their prominent position in the international movement for peace and arbitration""",prominent position international movement peace arbitration,2
literature,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",tribute consummate artistry permeated idealism demonstrated long productive career lyric poet dramatist novelist writer worldrenowned short stories,3
peace,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",acting link peace societies various countries helping organize world rallies international peace movement,2
physics,"""for his work on the equation of state for gases and liquids""",work equation state gases liquids,0
medicine,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances""",recognition contributions knowledge cell chemistry made work proteins including nucleic substances,1
chemistry,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",recognition services organic chemistry chemical industry pioneer work field alicyclic compounds,4
peace,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",effort expose fight considers main cause war namely anarchy international relations,2
peace,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",role cofounder Institut de droit international initiator Conferences International Private Law Conférences de Droit international privé Hague pioneer field international legal relations,2
physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",recognition extraordinary services rendered joint researches radiation phenomena discovered Professor Henri Becquerel,0
chemistry,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",recognition services advancement chemistry discovery elements radium polonium isolation radium study nature compounds remarkable element,4
physics,"""for his discoveries regarding the laws governing the radiation of heat""",discoveries regarding laws governing radiation heat,0
literature,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",appreciation manysided literary activities especially dramatic works distinguished wealth imagination poetic fancy reveals sometimes guise fairy tale deep inspiration mysterious way appeal readers feelings stimulate imaginations,3
medicine,"""for his work on the dioptrics of the eye""",work dioptrics eye,1
literature,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art""",primarily recognition fruitful varied outstanding production realm dramatic art,3
medicine,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",recognition work vascular suture transplantation blood vessels organs,1
chemistry,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",method hydrogenating organic compounds presence finely disintegrated metals whereby progress organic chemistry greatly advanced recent years,4
chemistry,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",discovery socalled Grignard reagent recent years greatly advanced progress organic chemistry,4
physics,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",invention automatic regulators use conjunction gas accumulators illuminating lighthouses buoys,0
peace,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",bringing better understanding countries North South America initiating important arbitration agreements United States countries,2
medicine,"""in recognition of his work on anaphylaxis""",recognition work anaphylaxis,1
chemistry,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",recognition work linkage atoms molecules thrown new light earlier investigations opened new fields research especially inorganic chemistry,4
peace,"""for his unparalleled contribution to the organization of peaceful internationalism""",unparalleled contribution organization peaceful internationalism,2
literature,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",profoundly sensitive fresh beautiful verse consummate skill made poetic thought expressed English words part literature West,3
physics,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",investigations properties matter low temperatures led inter alia production liquid helium,0
physics,"""for his discovery of the diffraction of X-rays by crystals""",discovery diffraction Xrays crystals,0
medicine,"""for his work on the physiology and pathology of the vestibular apparatus""",work physiology pathology vestibular apparatus,1
chemistry,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",recognition accurate determinations atomic weight large number chemical elements,4
physics,"""for their services in the analysis of crystal structure by means of X-rays""",services analysis crystal structure means Xrays,0
physics,"""for their services in the analysis of crystal structure by means of X-rays""",services analysis crystal structure means Xrays,0
chemistry,"""for his researches on plant pigments especially chlorophyll""",researches plant pigments especially chlorophyll,4
literature,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",tribute lofty idealism literary production sympathy love truth described different types human beings,3
literature,"""in recognition of his significance as the leading representative of a new era in our literature""",recognition significance leading representative new era literature,3
peace,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",efforts take care wounded soldiers prisoners war families,2
peace,"""for the great work it has performed during the war on behalf of humanity""",great work performed war behalf humanity,2
peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",promoting principles Geneva Convention cooperation UN,2
physics,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",discovery characteristic Roumlntgen radiation elements,0
literature,"""for his varied and rich poetry which is inspired by lofty ideals""",varied rich poetry inspired lofty ideals,3
literature,"""for his authentic descriptions of present-day life in Denmark""",authentic descriptions presentday life Denmark,3
physics,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",recognition services rendered advancement Physics discovery energy quanta,0
chemistry,"""for the synthesis of ammonia from its elements""",synthesis ammonia elements,4
peace,"""for his role as founder of the League of Nations""",role founder League Nations,2
medicine,"""for his discoveries relating to immunity""",discoveries relating immunity,1
physics,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",discovery Doppler effect canal rays splitting spectral lines electric fields,0
literature,"""in special appreciation of his epic <I>Olympian Spring</I>""",special appreciation epic IOlympian SpringI,3
physics,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",recognition service rendered precision measurements Physics discovery anomalies nickel steel alloys,0
chemistry,"""in recognition of his work in thermochemistry""",recognition work thermochemistry,4
medicine,"""for his discovery of the capillary motor regulating mechanism""",discovery capillary motor regulating mechanism,1
peace,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations""",longstanding contribution cause peace justice prominent role establishment League Nations,2
literature,"""for his monumental work <I>Growth of the Soil</I>""",monumental work IGrowth SoilI,3
literature,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament""",recognition brilliant literary achievements characterized nobility style profound human sympathy grace true Gallic temperament,3
peace,"""for their lifelong contributions to the cause of peace and organized internationalism""",lifelong contributions cause peace organized internationalism,2
physics,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",services Theoretical Physics especially discovery law photoelectric effect,0
chemistry,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""",contributions knowledge chemistry radioactive substances investigations origin nature isotopes,4
peace,"""for their lifelong contributions to the cause of peace and organized internationalism""",lifelong contributions cause peace organized internationalism,2
physics,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",services investigation structure atoms radiation emanating,0
peace,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees""",leading role repatriation prisoners war international relief work League Nations High Commissioner refugees,2
chemistry,"""for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule""",discovery means mass spectrograph isotopes large number nonradioactive elements enunciation wholenumber rule,4
medicine,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",discovery fixed relationship consumption oxygen metabolism lactic acid muscle,1
literature,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",happy manner continued illustrious traditions Spanish drama,3
medicine,"""for his discovery relating to the production of heat in the muscle""",discovery relating production heat muscle,1
medicine,"""for the discovery of insulin""",discovery insulin,1
medicine,"""for the discovery of insulin""",discovery insulin,1
physics,"""for his work on the elementary charge of electricity and on the photoelectric effect""",work elementary charge electricity photoelectric effect,0
chemistry,"""for his invention of the method of micro-analysis of organic substances""",invention method microanalysis organic substances,4
literature,"""for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation""",always inspired poetry highly artistic form gives expression spirit whole nation,3
literature,"""for his great national epic <I>The Peasants</I>""",great national epic IThe PeasantsI,3
medicine,"""for his discovery of the mechanism of the electrocardiogram""",discovery mechanism electrocardiogram,1
physics,"""for his discoveries and research in the field of X-ray spectroscopy""",discoveries research field Xray spectroscopy,0
physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",discovery laws governing impact electron upon atom,0
physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",discovery laws governing impact electron upon atom,0
peace,"""for his crucial role in bringing about the Locarno Treaty""",crucial role bringing Locarno Treaty,2
peace,"""for his crucial role in bringing about the Dawes Plan""",crucial role bringing Dawes Plan,2
chemistry,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry""",demonstration heterogenous nature colloid solutions methods used since become fundamental modern colloid chemistry,4
literature,"""for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty""",work marked idealism humanity stimulating satire often infused singular poetic beauty,3
peace,"""for their crucial role in bringing about the Locarno Treaty""",crucial role bringing Locarno Treaty,2
peace,"""for their crucial role in bringing about the Locarno Treaty""",crucial role bringing Locarno Treaty,2
literature,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",idealistically inspired writings plastic clarity picture life native island depth sympathy deal human problems general,3
medicine,"""for his discovery of the Spiroptera carcinoma""",discovery Spiroptera carcinoma,1
physics,"""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium""",work discontinuous structure matter especially discovery sedimentation equilibrium,0
chemistry,"""for his work on disperse systems""",work disperse systems,4
literature,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",recognition rich vitalizing ideas brilliant skill presented,3
peace,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",contribution emergence France Germany public opinion favours peaceful international cooperation,2
physics,"""for his discovery of the effect named after him""",discovery effect named,0
physics,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",method making paths electrically charged particles visible condensation vapour,0
medicine,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica""",discovery therapeutic value malaria inoculation treatment dementia paralytica,1
chemistry,"""for his investigations of the constitution of the bile acids and related substances""",investigations constitution bile acids related substances,4
peace,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",contribution emergence France Germany public opinion favours peaceful international cooperation,2
medicine,"""for his work on typhus""",work typhus,1
chemistry,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",services rendered research constitution sterols connection vitamins,4
physics,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",work thermionic phenomenon especially discovery law named,0
literature,"""principally for her powerful descriptions of Northern life during the Middle Ages""",principally powerful descriptions Northern life Middle Ages,3
chemistry,"""for their investigations on the fermentation of sugar and fermentative enzymes""",investigations fermentation sugar fermentative enzymes,4
chemistry,"""for their investigations on the fermentation of sugar and fermentative enzymes""",investigations fermentation sugar fermentative enzymes,4
medicine,"""for his discovery of the antineuritic vitamin""",discovery antineuritic vitamin,1
physics,"""for his discovery of the wave nature of electrons""",discovery wave nature electrons,0
literature,"""principally for his great novel <I>Buddenbrooks</I> which has won steadily increased recognition as one of the classic works of contemporary literature""",principally great novel IBuddenbrooksI steadily increased recognition one classic works contemporary literature,3
medicine,"""for his discovery of the growth-stimulating vitamins""",discovery growthstimulating vitamins,1
peace,"""for his crucial role in bringing about the Briand-Kellogg Pact""",crucial role bringing BriandKellogg Pact,2
literature,"""for his vigorous and graphic art of description and his ability to create with wit and humour new types of characters""",vigorous graphic art description ability create wit humour new types characters,3
medicine,"""for his discovery of human blood groups""",discovery human blood groups,1
chemistry,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",researches constitution haemin chlorophyll especially synthesis haemin,4
peace,"""for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'""",promoting Christian unity helping create new attitude mind necessary peace nations become reality,2
physics,"""for his work on the scattering of light and for the discovery of the effect named after him""",work scattering light discovery effect named,0
medicine,"""for his discovery of the nature and mode of action of the respiratory enzyme""",discovery nature mode action respiratory enzyme,1
chemistry,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",recognition contributions invention development chemical high pressure methods,4
chemistry,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",recognition contributions invention development chemical high pressure methods,4
literature,"""The poetry of Erik Axel Karlfeldt""",poetry Erik Axel Karlfeldt,3
peace,"""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",assiduous effort revive ideal peace rekindle spirit peace nation whole mankind,2
peace,"""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",assiduous effort revive ideal peace rekindle spirit peace nation whole mankind,2
medicine,"""for their discoveries regarding the functions of neurons""",discoveries regarding functions neurons,1
medicine,"""for their discoveries regarding the functions of neurons""",discoveries regarding functions neurons,1
physics,"""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen""",creation quantum mechanics application inter alia led discovery allotropic forms hydrogen,0
literature,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>""",distinguished art narration takes highest form IThe Forsyte SagaI,3
chemistry,"""for his discoveries and investigations in surface chemistry""",discoveries investigations surface chemistry,4
physics,"""for the discovery of new productive forms of atomic theory""",discovery new productive forms atomic theory,0
physics,"""for the discovery of new productive forms of atomic theory""",discovery new productive forms atomic theory,0
peace,"""for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace""",exposed pen illusion war presented convincing plea international cooperation peace,2
medicine,"""for his discoveries concerning the role played by the chromosome in heredity""",discoveries concerning role played chromosome heredity,1
literature,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""",strict artistry carried classical Russian traditions prose writing,3
medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",discoveries concerning liver therapy cases anaemia,1
chemistry,"""for his discovery of heavy hydrogen""",discovery heavy hydrogen,4
literature,"""for his bold and ingenious revival of dramatic and scenic art""",bold ingenious revival dramatic scenic art,3
medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",discoveries concerning liver therapy cases anaemia,1
medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",discoveries concerning liver therapy cases anaemia,1
peace,"""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34""",untiring struggle courageous efforts Chairman League Nations Disarmament Conference 193134,2
chemistry,"""in recognition of their synthesis of new radioactive elements""",recognition synthesis new radioactive elements,4
chemistry,"""in recognition of their synthesis of new radioactive elements""",recognition synthesis new radioactive elements,4
physics,"""for the discovery of the neutron""",discovery neutron,0
medicine,"""for his discovery of the organizer effect in embryonic development""",discovery organizer effect embryonic development,1
peace,"""for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace""",burning love freedom thought expression valuable contribution cause peace,2
chemistry,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",contributions knowledge molecular structure investigations dipole moments diffraction Xrays electrons gases,4
medicine,"""for their discoveries relating to chemical transmission of nerve impulses""",discoveries relating chemical transmission nerve impulses,1
physics,"""for his discovery of cosmic radiation""",discovery cosmic radiation,0
medicine,"""for their discoveries relating to chemical transmission of nerve impulses""",discoveries relating chemical transmission nerve impulses,1
physics,"""for his discovery of the positron""",discovery positron,0
peace,"""for his role as father of the Argentine Antiwar Pact of 1933 which he also used as a means to mediate peace between Paraguay and Bolivia in 1935""",role father Argentine Antiwar Pact 1933 also used means mediate peace Paraguay Bolivia 1935,2
literature,"""for the power honesty and deep-felt emotions of his dramatic works which embody an original concept of tragedy""",power honesty deepfelt emotions dramatic works embody original concept tragedy,3
physics,"""for their experimental discovery of the diffraction of electrons by crystals""",experimental discovery diffraction electrons crystals,0
medicine,"""for his discoveries in connection with the biological combustion processes with special reference to vitamin C and the catalysis of fumaric acid""",discoveries connection biological combustion processes special reference vitamin C catalysis fumaric acid,1
chemistry,"""for his investigations on carbohydrates and vitamin C""",investigations carbohydrates vitamin C,4
physics,"""for their experimental discovery of the diffraction of electrons by crystals""",experimental discovery diffraction electrons crystals,0
peace,"""for his tireless effort in support of the League of Nations disarmament and peace""",tireless effort support League Nations disarmament peace,2
literature,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",artistic power truth depicted human conflict well fundamental aspects contemporary life novelcycle ILes ThibaultI,3
chemistry,"""for his investigations on carotenoids flavins and vitamins A and B2""",investigations carotenoids flavins vitamins B2,4
physics,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons""",demonstrations existence new radioactive elements produced neutron irradiation related discovery nuclear reactions brought slow neutrons,0
chemistry,"""for his work on carotenoids and vitamins""",work carotenoids vitamins,4
medicine,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",discovery role played sinus aortic mechanisms regulation respiration,1
peace,"""for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe""",carried work Fridtjof Nansen benefit refugees across Europe,2
literature,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",rich truly epic descriptions peasant life China biographical masterpieces,3
medicine,"""for the discovery of the antibacterial effects of prontosil""",discovery antibacterial effects prontosil,1
physics,"""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements""",invention development cyclotron results obtained especially regard artificial radioactive elements,0
chemistry,"""for his work on polymethylenes and higher terpenes""",work polymethylenes higher terpenes,4
chemistry,"""for his work on sex hormones""",work sex hormones,4
literature,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",deep understanding countrys peasantry exquisite art portrayed way life relationship Nature,3
medicine,"""for his discovery of vitamin K""",discovery vitamin K,1
medicine,"""for his discovery of the chemical nature of vitamin K""",discovery chemical nature vitamin K,1
chemistry,"""for his work on the use of isotopes as tracers in the study of chemical processes""",work use isotopes tracers study chemical processes,4
physics,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",contribution development molecular ray method discovery magnetic moment proton,0
medicine,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",discoveries relating highly differentiated functions single nerve fibres,1
literature,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold freshly creative style""",rare strength fertility poetic imagination combined intellectual curiosity wide scope bold freshly creative style,3
medicine,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",discoveries relating highly differentiated functions single nerve fibres,1
chemistry,"""for his discovery of the fission of heavy nuclei""",discovery fission heavy nuclei,4
peace,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",efforts take care wounded soldiers prisoners war families,2
peace,"""for the great work it has performed during the war on behalf of humanity""",great work performed war behalf humanity,2
peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",promoting principles Geneva Convention cooperation UN,2
physics,"""for his resonance method for recording the magnetic properties of atomic nuclei""",resonance method recording magnetic properties atomic nuclei,0
physics,"""for the discovery of the Exclusion Principle also called the Pauli Principle""",discovery Exclusion Principle also called Pauli Principle,0
literature,"""for her lyric poetry which inspired by powerful emotions has made her name a symbol of the idealistic aspirations of the entire Latin American world""",lyric poetry inspired powerful emotions made name symbol idealistic aspirations entire Latin American world,3
chemistry,"""for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method""",research inventions agricultural nutrition chemistry especially fodder preservation method,4
peace,"""for his indefatigable work for international understanding and his pivotal role in establishing the United Nations""",indefatigable work international understanding pivotal role establishing United Nations,2
medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases""",discovery penicillin curative effect various infectious diseases,1
